Dates,SMA_50,SMA_200,SMA_crossover,DEMA,MACD,MACD_Signal,RSI,ROC,BIAS,Z_Score,Keltner_upper,Keltner_lower,Bollinger_upper,Bollinger_lower
2005-03-03,1403.3162199999997,,0,1425.5152387048163,11.20459809549925,-4.351207195931027,67.45805911667361,6.717198366806855,4.705397836847031,1.2910278356749008,1452.42428102959,1379.7570810295902,1494.1730415810048,1291.1408584189953
2005-03-04,1402.02728,,0,1435.7112343857082,14.34003529662641,-0.612958697419539,69.65774828235675,8.111882072858439,5.655883059329019,1.4718641832942965,1458.9655066458197,1384.8641066458197,1505.6190644040182,1290.711735595982
2005-03-07,1402.95598,,0,1443.242312624391,16.10897287247667,2.731427616559703,65.89747102095822,6.201725602112092,4.691425132938204,1.2173953917168816,1461.4182441081225,1391.6986441081226,1513.0393007711655,1296.4992992288344
2005-03-08,1404.2222600000002,,0,1454.9409112494861,19.635314587203084,6.112205010688379,72.81931929644459,9.475609693786314,6.320708207358027,1.5420775468866235,1466.934501812111,1400.1343018121108,1526.2829949452428,1295.003705054757
2005-03-09,1405.3567200000002,,0,1466.2354565072214,22.750946248744185,9.439953258299541,85.75715022983951,13.457639547113228,6.363784449584426,1.472446850317814,1474.6348635442907,1406.4338635442907,1539.3391173665366,1294.3960826334635
2005-03-10,1407.14682,,0,1471.400728643307,22.97564973002295,12.147092552644223,79.0613958085908,11.89404603314175,4.260415265613346,0.9721041024065971,1480.9728860638822,1408.089486063882,1546.557592651009,1297.2849073489908
2005-03-11,1408.9544600000002,,0,1475.8887656649704,22.959828813873628,14.309639804890105,79.12890666647054,11.960238958725652,3.894744951918022,0.8922605281948579,1483.2577826292268,1413.2039826292266,1552.415208978371,1303.1247910216289
2005-03-14,1413.99206,,0,1494.1738865315479,29.081110673712374,17.26393397865456,81.59465444182551,14.240581012607361,8.758928992198777,1.8659697402609392,1502.2573652359672,1416.169565235967,1572.592729110493,1302.661770889507
2005-03-15,1418.70182,,0,1511.4004286782788,34.26201115451249,20.663549413826146,79.034485814948,11.109941347751102,8.674061987371108,1.7286421877712617,1512.1085209277799,1427.9023209277798,1592.23200673387,1301.7961932661296
2005-03-16,1423.78116,,0,1526.5730726697905,38.157861831441096,24.162411897349138,79.71005969359243,11.43478805223944,8.103681137107573,1.5619939830082572,1520.9486094108483,1439.1330094108484,1608.4921770947267,1306.0746229052734
2005-03-17,1428.0833799999998,,0,1541.263821400531,41.57910254035755,27.64575002595082,75.46241348500399,7.788539199342978,7.843520704563198,1.5505339167130656,1527.8242656574344,1452.3358656574342,1618.8791237530108,1321.4050762469888
2005-03-18,1432.7564000000002,,0,1555.0810481719489,44.39725862238174,30.996051745237008,75.93103718916365,8.068292974118444,7.385428879049282,1.5452952425001611,1538.0676974995836,1461.7188974995834,1625.3591172173105,1341.7454827826896
2005-03-21,1436.9107000000001,,0,1568.5250633007333,46.88565716388348,34.173972828966306,80.61433716253515,9.550957644928168,7.046727401697575,1.6186363160652941,1548.8709929758136,1470.5505929758135,1627.838734357047,1367.072065642953
2005-03-22,1441.0483,,0,1577.0610660406162,47.07772260621232,36.75472278441551,74.6975262766748,7.9052965684109004,5.253077538245201,1.3064490011830132,1553.453507930498,1480.812307930498,1629.707700519651,1387.1028994803487
2005-03-23,1445.39268,,0,1579.773593761558,44.769594703692746,38.35769716827096,71.3777305246584,7.22547931095258,3.1487847008561136,0.8278111317936914,1555.6188928894985,1487.4878928894982,1631.133946482658,1400.5023535173416
2005-03-24,1447.1296599999998,,0,1578.8270180976435,41.12307176350009,38.910772087316786,64.27298098083332,4.715334772048501,1.604217836701188,0.4632260284616724,1559.5406507095463,1488.3942507095462,1627.9282624131306,1417.0260375868697
2005-03-25,1449.09318,,0,1577.7625784444378,37.79747035151422,38.68811174015627,66.05164963823353,5.1832052400499675,1.3512220843705087,0.40016233238490306,1556.007698261018,1496.295498261018,1629.3527689050193,1423.2024310949805
2005-03-28,1450.7807,,0,1574.107909445379,33.66034707600966,37.68255880732695,57.49505882141074,2.2199537806889738,0.2535436688058241,0.07744322976927824,1557.7209460456831,1495.905946045683,1629.3551626890435,1429.0923373109567
2005-03-29,1455.05658,,0,1583.6188320158055,35.696921751030004,37.28543139606756,66.97323127728643,6.439005357543345,4.41368197866241,1.3507335363933308,1571.080703565142,1497.2621035651418,1636.6647325549482,1435.867467445052
2005-03-30,1458.87704,,0,1593.8700241243332,37.888381433726636,37.406021403599375,74.48775429731428,9.048223238972527,4.736498276533555,1.4386476621055997,1579.3813508446522,1504.669950844652,1645.1678628486657,1441.8954371513346
2005-03-31,1463.46602,,0,1610.0552491916374,42.509948063375305,38.426806735554564,77.80579915448848,11.803262553442211,6.753548359106682,1.9867627387085587,1593.3389126689708,1512.8913126689708,1659.1640498397946,1447.9270501602055
2005-04-01,1468.77918,,0,1627.5174379728855,47.30596809442909,40.20263900732947,72.64838162936984,7.401179880630464,7.394393669977134,2.0417280542996257,1605.5282686052594,1524.7312686052594,1676.905957855537,1450.387642144463
2005-04-04,1472.3512799999999,,0,1636.1880420502982,47.844969906856704,41.731105187234924,63.05890081797767,4.651806103416857,4.660581456790341,1.3322969972878282,1615.9015192142824,1529.7009192142823,1682.4069303255321,1462.3873696744683
2005-04-05,1476.1587600000003,,0,1642.5068989748893,47.341669675489584,42.85321808488586,61.61963964666793,4.159956632602868,3.891193432255577,1.1329324353187553,1619.9517602414935,1538.6241602414934,1687.9488582305721,1470.9560417694283
2005-04-06,1479.97354,,0,1647.1146263079459,46.16581143523899,43.51573675495649,59.53323950116198,3.3066259296238965,3.2713445786213615,0.9802489953588193,1625.112364028018,1544.6235640280179,1691.852141812084,1480.1371581879162
2005-04-07,1483.40924,,0,1643.2547693056817,41.39929217082363,43.09244783812992,50.51003395910018,0.19778811250133027,0.28817922361555603,0.09758888698970718,1627.9057722158257,1544.0019722158256,1685.6876560819603,1497.6785439180396
2005-04-08,1486.72462,,0,1634.7942081831418,35.04941762268254,41.48384179504045,44.84850344414952,-2.094789881576603,-1.665812334847209,-0.6649617829195184,1628.928522480985,1539.825722480985,1675.9468908938582,1516.021309106142
2005-04-11,1490.0523199999998,,0,1629.9092934485175,30.833311721743712,39.3537357803811,49.42710111626846,-0.23462453460885957,-0.8193223980975587,-0.3323803746994574,1622.319796530415,1546.346996530415,1675.7352869814843,1518.2699130185163
2005-04-12,1492.4705999999999,,0,1617.041312965539,23.461977335290157,36.175384091362915,46.228114085811775,-1.6770831467917826,-3.630573521911979,-1.4037060687011735,1621.6040016227564,1538.1090016227565,1677.761791180293,1512.723108819707
2005-04-13,1494.1169999999997,,0,1601.224437214479,15.41403184920523,32.02311364293138,45.125797202384796,-2.244035009350952,-5.018268519920128,-1.7714522748255506,1617.388382420589,1529.4353824205891,1682.2858252585784,1501.8801747414218
2005-04-14,1497.17594,,0,1591.0465735070175,10.506108384617619,27.719712591268628,48.005236702686716,-0.9692281535793283,-3.6175627274533406,-1.2217370792943492,1614.4000317138664,1524.5182317138663,1683.5303386278738,1495.2811613721265
2005-04-15,1500.16054,,0,1579.3481537963107,5.296457711398034,23.235061615294512,47.776024067031756,-1.0955573050960143,-4.368162000039032,-1.3908159570659997,1610.1314334554029,1518.6622334554029,1685.1613332438415,1485.9687667561584
2005-04-18,1503.5110400000003,,0,1567.3524573547002,0.34198544364608097,18.656446380964827,34.54167271625434,-6.106459061688004,-4.7195009977085185,-1.4171060798716486,1604.6139588406027,1513.0793588406027,1686.0102953086546,1475.4341046913453
2005-04-19,1506.3986800000002,,0,1560.7120577065364,-1.9013530617853576,14.54488649241479,36.15735553065471,-5.563016155101842,-3.230601174360706,-0.944399729495431,1602.0783389510216,1509.4931389510216,1685.6135927125945,1469.7372072874057
2005-04-20,1509.33386,,0,1555.4396665414267,-3.4297994342823586,10.94994930707536,27.390142881650874,-7.787743485693091,-2.960436771564625,-0.8486728138594261,1597.4072495271148,1509.1208495271148,1685.9124857680004,1466.0143142319998
2005-04-21,1512.1831,,0,1549.90383915646,-5.020419248241296,7.75587559601203,21.25113327289209,-9.252776059106665,-3.2335810569490655,-0.911801026561782,1593.4868210007228,1507.446221000723,1686.510135957265,1463.1155640427346
2005-04-22,1516.0393,,0,1551.5440907605443,-3.391629424439998,5.526374591921624,34.10351915107967,-5.254180642652283,-1.029272386188033,-0.2916864718450271,1597.852119000654,1504.746919000654,1686.6125573563083,1464.2443426436919
2005-04-25,1519.71346,,0,1551.3051938581234,-2.8029464636333614,3.860510380810627,33.568582317238665,-5.533569137162744,-1.6601090815810102,-0.4754544881121032,1597.2691267148775,1505.1035267148777,1686.3544699678748,1466.203430032125
2005-04-26,1522.87682,,0,1549.80156901185,-2.8802353523046804,2.5123612341875656,33.07574352756578,-5.795181326081668,-1.923652480749154,-0.5491454826772396,1590.1036670277463,1510.7020670277466,1683.4431404003783,1463.0035595996217
2005-04-27,1524.7239000000002,,0,1533.8846192486935,-9.338792340838609,0.14213051918233088,29.036681307466154,-8.389871387672509,-6.589778765500832,-1.7382565452322316,1588.5218035012945,1495.5110035012945,1684.2062765041362,1446.8108234958638
2005-04-28,1527.1815600000002,,0,1518.1775504471193,-15.184581521703194,-2.9232118889947745,30.536515022815692,-7.533844187389042,-6.686290151763489,-1.7228650897637583,1576.804903167838,1489.922303167838,1675.8509360895007,1434.4358639104992
2005-04-29,1529.00544,,0,1498.3531648707997,-22.387822828401113,-6.816134076876042,24.125191583582833,-10.594550980543184,-8.163267953120704,-2.0787349324589064,1567.0626981042342,1477.3302981042343,1663.0940589583624,1420.8767410416376
2005-05-02,1531.3110400000003,,0,1485.7484033004268,-25.854865757256675,-10.62388041295217,33.90618527662251,-6.318178447512114,-5.974765542445776,-1.539202828314864,1558.3027316181167,1470.4709316181168,1650.6248478135528,1412.797452186447
2005-05-03,1531.95924,,0,1467.916810238961,-31.39884678975318,-14.778873688312373,32.40268932472358,-7.349152354072379,-7.80824314611464,-1.9629001095346288,1550.9464238449627,1456.2402238449627,1640.6244015622776,1398.8121984377224
2005-05-04,1532.1691400000002,,0,1457.19986616607,-33.41175675208228,-18.505450301066357,33.45865364831755,-6.927439506811105,-5.521631670297609,-1.4581354449979864,1545.7059025263948,1446.6603025263948,1623.4071976114174,1394.8202023885829
