,Dates,Carry NG1 Comdty - NG2 Comdty,SMA_crossover,CombinedSignal
267,2006-11-06,1.0,-1,-0.0
268,2006-11-07,0.0,-1,-0.5
269,2006-11-08,-0.9999999999999999,-1,-1.0
270,2006-11-09,-0.9999999999999999,-1,-1.0
271,2006-11-10,0.0,-1,-0.5
272,2006-11-13,1.0,-1,-0.0
273,2006-11-14,-0.9999999999999999,-1,-1.0
274,2006-11-15,-0.9999999999999999,-1,-1.0
275,2006-11-16,1.0,-1,-0.0
276,2006-11-17,-0.9999999999999999,-1,-1.0
277,2006-11-20,0.0,-1,-0.5
278,2006-11-21,1.0,-1,-0.0
279,2006-11-22,1.0,-1,-0.0
280,2006-11-23,0.0,-1,-0.5
281,2006-11-24,-0.9999999999999999,-1,-1.0
282,2006-11-27,-0.9999999999999999,-1,-1.0
283,2006-11-28,-0.9999999999999999,-1,-1.0
284,2006-11-29,-0.9999999999999999,-1,-1.0
285,2006-11-30,-0.9999999999999999,-1,-1.0
286,2006-12-01,1.0,-1,-0.0
287,2006-12-04,1.0,-1,-0.0
288,2006-12-05,1.0,-1,-0.0
289,2006-12-06,-0.9999999999999999,-1,-1.0
290,2006-12-07,-0.9999999999999999,-1,-1.0
291,2006-12-08,0.0,-1,-0.5
292,2006-12-11,1.0,-1,-0.0
293,2006-12-12,-0.9999999999999999,-1,-1.0
294,2006-12-13,-0.9999999999999999,-1,-1.0
295,2006-12-14,0.0,-1,-0.5
296,2006-12-15,1.0,-1,-0.0
297,2006-12-18,1.0,-1,-0.0
298,2006-12-19,0.0,-1,-0.5
299,2006-12-20,0.0,-1,-0.5
300,2006-12-21,0.0,-1,-0.5
301,2006-12-22,1.0,-1,-0.0
302,2006-12-25,0.0,-1,-0.5
303,2006-12-26,1.0,-1,-0.0
304,2006-12-27,0.0,-1,-0.5
305,2006-12-28,-0.9999999999999999,-1,-1.0
306,2006-12-29,-0.9999999999999999,-1,-1.0
307,2007-01-01,-0.9999999999999999,-1,-1.0
308,2007-01-02,-0.9999999999999999,-1,-1.0
309,2007-01-03,1.0,-1,-0.0
310,2007-01-04,0.0,-1,-0.5
311,2007-01-05,-0.9999999999999999,-1,-1.0
312,2007-01-08,-0.9999999999999999,-1,-1.0
313,2007-01-09,-0.9999999999999999,-1,-1.0
314,2007-01-10,-0.9999999999999999,-1,-1.0
315,2007-01-11,1.0,-1,-0.0
316,2007-01-12,0.0,-1,-0.5
317,2007-01-15,-0.9999999999999999,-1,-1.0
318,2007-01-16,1.0,-1,-0.0
319,2007-01-17,1.0,-1,-0.0
320,2007-01-18,0.0,-1,-0.5
321,2007-01-19,-0.9999999999999999,-1,-1.0
322,2007-01-22,-0.9999999999999999,-1,-1.0
323,2007-01-23,-0.9999999999999999,-1,-1.0
324,2007-01-24,1.0,-1,-0.0
325,2007-01-25,1.0,-1,-0.0
326,2007-01-26,0.0,-1,-0.5
327,2007-01-29,0.0,-1,-0.5
328,2007-01-30,-0.9999999999999999,-1,-1.0
329,2007-01-31,0.0,-1,-0.5
330,2007-02-01,1.0,-1,-0.0
331,2007-02-02,1.0,-1,-0.0
332,2007-02-05,0.0,-1,-0.5
333,2007-02-06,1.0,-1,-0.0
334,2007-02-07,0.0,-1,-0.5
335,2007-02-08,-0.9999999999999999,-1,-1.0
336,2007-02-09,0.0,-1,-0.5
337,2007-02-12,1.0,-1,-0.0
338,2007-02-13,0.0,-1,-0.5
339,2007-02-14,1.0,-1,-0.0
340,2007-02-15,1.0,-1,-0.0
341,2007-02-16,-0.9999999999999999,-1,-1.0
342,2007-02-19,0.0,-1,-0.5
343,2007-02-20,-0.9999999999999999,-1,-1.0
344,2007-02-21,-0.9999999999999999,-1,-1.0
345,2007-02-22,-0.9999999999999999,-1,-1.0
346,2007-02-23,1.0,-1,-0.0
347,2007-02-26,1.0,-1,-0.0
348,2007-02-27,1.0,-1,-0.0
349,2007-02-28,1.0,-1,-0.0
350,2007-03-01,0.0,-1,-0.5
351,2007-03-02,1.0,-1,-0.0
352,2007-03-05,1.0,-1,-0.0
353,2007-03-06,-0.9999999999999999,-1,-1.0
354,2007-03-07,0.0,-1,-0.5
355,2007-03-08,1.0,-1,-0.0
356,2007-03-09,1.0,-1,-0.0
357,2007-03-12,1.0,-1,-0.0
358,2007-03-13,1.0,-1,-0.0
359,2007-03-14,-0.9999999999999999,-1,-1.0
360,2007-03-15,0.0,-1,-0.5
361,2007-03-16,1.0,-1,-0.0
362,2007-03-19,1.0,-1,-0.0
363,2007-03-20,-0.9999999999999999,-1,-1.0
364,2007-03-21,-0.9999999999999999,-1,-1.0
365,2007-03-22,-0.9999999999999999,-1,-1.0
366,2007-03-23,-0.9999999999999999,-1,-1.0
367,2007-03-26,1.0,-1,-0.0
368,2007-03-27,-0.9999999999999999,-1,-1.0
369,2007-03-28,-0.9999999999999999,-1,-1.0
370,2007-03-29,1.0,-1,-0.0
371,2007-03-30,-0.9999999999999999,-1,-1.0
372,2007-04-02,0.0,-1,-0.5
373,2007-04-03,1.0,-1,-0.0
374,2007-04-04,0.0,-1,-0.5
375,2007-04-05,-0.9999999999999999,-1,-1.0
376,2007-04-06,0.0,-1,-0.5
377,2007-04-09,1.0,-1,0.0
378,2007-04-10,-0.9999999999999999,-1,-1.0
379,2007-04-11,0.0,-1,-0.5
380,2007-04-12,0.0,-1,-0.5
381,2007-04-13,1.0,-1,0.0
382,2007-04-16,1.0,-1,0.0
383,2007-04-17,1.0,-1,0.0
384,2007-04-18,0.0,-1,-0.5
385,2007-04-19,0.0,-1,-0.5
386,2007-04-20,1.0,-1,0.0
387,2007-04-23,-0.9999999999999999,-1,-1.0
388,2007-04-24,-0.9999999999999999,-1,-1.0
389,2007-04-25,-0.9999999999999999,-1,-1.0
390,2007-04-26,1.0,-1,0.0
391,2007-04-27,-0.9999999999999999,-1,-1.0
392,2007-04-30,-0.9999999999999999,-1,-1.0
393,2007-05-01,1.0,-1,0.0
394,2007-05-02,1.0,-1,0.0
395,2007-05-03,-0.9999999999999999,-1,-1.0
396,2007-05-04,-0.9999999999999999,-1,-1.0
397,2007-05-07,1.0,-1,-0.0
398,2007-05-08,1.0,-1,-0.0
399,2007-05-09,0.0,-1,-0.5
400,2007-05-10,-0.9999999999999999,-1,-1.0
401,2007-05-11,-0.9999999999999999,-1,-1.0
402,2007-05-14,-0.9999999999999999,-1,-1.0
403,2007-05-15,1.0,-1,-0.0
404,2007-05-16,0.0,-1,-0.5
405,2007-05-17,-0.9999999999999999,-1,-1.0
406,2007-05-18,0.0,-1,-0.5
407,2007-05-21,1.0,-1,-0.0
408,2007-05-22,1.0,-1,-0.0
409,2007-05-23,1.0,-1,-0.0
410,2007-05-24,1.0,-1,-0.0
411,2007-05-25,1.0,-1,-0.0
412,2007-05-28,0.0,-1,-0.5
413,2007-05-29,1.0,-1,-0.0
414,2007-05-30,-0.9999999999999999,-1,-1.0
415,2007-05-31,-0.9999999999999999,-1,-1.0
416,2007-06-01,1.0,-1,-0.0
417,2007-06-04,-0.9999999999999999,-1,-1.0
418,2007-06-05,0.0,-1,-0.5
419,2007-06-06,0.0,-1,-0.5
420,2007-06-07,1.0,-1,-0.0
421,2007-06-08,1.0,-1,-0.0
422,2007-06-11,1.0,-1,-0.0
423,2007-06-12,-0.9999999999999999,-1,-1.0
424,2007-06-13,0.0,-1,-0.5
425,2007-06-14,-0.9999999999999999,-1,-1.0
426,2007-06-15,-0.9999999999999999,-1,-1.0
427,2007-06-18,1.0,-1,-0.0
428,2007-06-19,1.0,-1,-0.0
429,2007-06-20,1.0,-1,-0.0
430,2007-06-21,1.0,-1,-0.0
431,2007-06-22,1.0,-1,-0.0
432,2007-06-25,1.0,-1,-0.0
433,2007-06-26,1.0,-1,-0.0
434,2007-06-27,-0.9999999999999999,-1,-1.0
435,2007-06-28,1.0,-1,-0.0
436,2007-06-29,0.0,-1,-0.5
437,2007-07-02,-0.9999999999999999,-1,-1.0
438,2007-07-03,-0.9999999999999999,-1,-1.0
439,2007-07-04,-0.9999999999999999,-1,-1.0
440,2007-07-05,0.0,-1,-0.5
441,2007-07-06,1.0,-1,0.0
442,2007-07-09,0.0,-1,-0.5
443,2007-07-10,-0.9999999999999999,-1,-1.0
444,2007-07-11,0.0,-1,-0.5
445,2007-07-12,1.0,-1,0.0
446,2007-07-13,-0.9999999999999999,-1,-1.0
447,2007-07-16,1.0,-1,0.0
448,2007-07-17,1.0,-1,0.0
449,2007-07-18,-0.9999999999999999,-1,-1.0
450,2007-07-19,-0.9999999999999999,-1,-1.0
451,2007-07-20,1.0,-1,0.0
452,2007-07-23,1.0,-1,0.0
453,2007-07-24,1.0,-1,0.0
454,2007-07-25,-0.9999999999999999,-1,-1.0
